codecommune,codedep,election_type,Year,far_right_relvotes,far_right_votes,turnout,incumbents_relvotes,incumbents_votes,greens_relvotes,greens_votes,right_relvotes,right_votes,socialists_relvotes,socialists_votes
36212,36,E,2024,0.55952380952381,47,0.636363636363636,0.0595238095238095,5,0.0238095238095238,2,0.0238095238095238,2,0.0595238095238095,5
36213,36,E,2024,0.330578512396694,40,0.557603686635945,0.132231404958678,16,0.0413223140495868,5,0.0578512396694215,7,0.107438016528926,13
36214,36,E,2024,0.344,43,0.477099236641221,0.176,22,0.04,5,0.096,12,0.088,11
36215,36,E,2024,0.559782608695652,103,0.528735632183908,0.0760869565217391,14,0.0326086956521739,6,0.0652173913043478,12,0.0706521739130435,13
36216,36,E,2024,0.5,17,0.641509433962264,0.0294117647058824,1,0.0294117647058824,1,0,0,0.0588235294117647,2
36217,36,E,2024,0.411764705882353,21,0.6,0.156862745098039,8,0,0,0.0588235294117647,3,0.0980392156862745,5
36218,36,E,2024,0.379310344827586,22,0.5,0.137931034482759,8,0,0,0.0517241379310345,3,0.120689655172414,7
36219,36,E,2024,0.525179856115108,146,0.579166666666667,0.154676258992806,43,0.0179856115107914,5,0.0467625899280576,13,0.0575539568345324,16
36220,36,E,2024,0.408823529411765,139,0.456375838926175,0.105882352941176,36,0.05,17,0.05,17,0.105882352941176,36
36221,36,E,2024,0.433333333333333,65,0.530035335689046,0.166666666666667,25,0.0333333333333333,5,0.0933333333333333,14,0.0733333333333333,11
36222,36,E,2024,0.342592592592593,37,0.593406593406593,0.231481481481482,25,0.00925925925925926,1,0.0648148148148148,7,0.101851851851852,11
36223,36,E,2024,0.296875,19,0.56140350877193,0.125,8,0,0,0.171875,11,0.109375,7
36224,36,E,2024,0.449244060475162,208,0.529142857142857,0.11231101511879,52,0.0475161987041037,22,0.0475161987041037,22,0.142548596112311,66
36225,36,E,2024,0.45679012345679,37,0.637795275590551,0.135802469135802,11,0.0246913580246914,2,0.0493827160493827,4,0.0617283950617284,5
36226,36,E,2024,0.403508771929825,69,0.638059701492537,0.146198830409357,25,0.0233918128654971,4,0.0526315789473684,9,0.12280701754386,21
36227,36,E,2024,0.509803921568627,52,0.56353591160221,0.0882352941176471,9,0.00980392156862745,1,0.0686274509803922,7,0.0980392156862745,10
36228,36,E,2024,0.337915234822451,295,0.508149010477299,0.164948453608247,144,0.0309278350515464,27,0.0859106529209622,75,0.11340206185567,99
36229,36,E,2024,0.471389645776567,173,0.469910371318822,0.136239782016349,50,0.0272479564032698,10,0.0708446866485014,26,0.0517711171662125,19
36230,36,E,2024,0.410119840213049,308,0.490529065969954,0.141145139813582,106,0.0239680426098535,18,0.0892143808255659,67,0.123834886817577,93
36231,36,E,2024,0.430992736077482,178,0.52948717948718,0.106537530266344,44,0.0387409200968523,16,0.0750605326876513,31,0.099273607748184,41
36232,36,E,2024,0.495744680851064,233,0.536529680365297,0.11063829787234,52,0.0212765957446809,10,0.0595744680851064,28,0.0787234042553192,37
36233,36,E,2024,0.460207612456747,133,0.511504424778761,0.107266435986159,31,0.027681660899654,8,0.0726643598615917,21,0.0726643598615917,21
36234,36,E,2024,0.386503067484663,63,0.626923076923077,0.220858895705521,36,0.0122699386503067,2,0.0858895705521472,14,0.0736196319018405,12
36235,36,E,2024,0.354838709677419,55,0.516666666666667,0.141935483870968,22,0.0387096774193548,6,0.129032258064516,20,0.0709677419354839,11
36236,36,E,2024,0.39766081871345,68,0.577702702702703,0.128654970760234,22,0.0233918128654971,4,0.12280701754386,21,0.0760233918128655,13
36237,36,E,2024,0.441558441558442,136,0.522033898305085,0.152597402597403,47,0.0227272727272727,7,0.0616883116883117,19,0.0616883116883117,19
36238,36,E,2024,0.304347826086957,14,0.575,0.108695652173913,5,0,0,0.0869565217391304,4,0.130434782608696,6
36239,36,E,2024,0.453125,87,0.524590163934426,0.104166666666667,20,0.015625,3,0.03125,6,0.140625,27
36240,36,E,2024,0.368055555555556,53,0.564705882352941,0.0833333333333333,12,0.0763888888888889,11,0.0486111111111111,7,0.0972222222222222,14
36241,36,E,2024,0.483930211202939,527,0.535135135135135,0.0964187327823691,105,0.0247933884297521,27,0.0661157024793388,72,0.0982552800734619,107
36242,36,E,2024,0.4,24,0.566037735849057,0.0166666666666667,1,0,0,0.133333333333333,8,0.0333333333333333,2
36243,36,E,2024,0.464285714285714,65,0.509090909090909,0.164285714285714,23,0.0357142857142857,5,0.0642857142857143,9,0.0785714285714286,11
36244,36,E,2024,0.450738916256158,183,0.568627450980392,0.11576354679803,47,0.041871921182266,17,0.0886699507389163,36,0.0960591133004926,39
36246,36,E,2024,0.451219512195122,37,0.630769230769231,0.109756097560976,9,0.0487804878048781,4,0.134146341463415,11,0.0365853658536585,3
36247,36,E,2024,0.513257575757576,271,0.54042988741044,0.104166666666667,55,0.0151515151515152,8,0.0738636363636364,39,0.0795454545454545,42
36248,36,E,2024,0.326732673267327,33,0.597633136094675,0.168316831683168,17,0.0099009900990099,1,0.0297029702970297,3,0.168316831683168,17
37001,37,E,2024,0.432558139534884,186,0.52760736196319,0.12093023255814,52,0.0162790697674419,7,0.0372093023255814,16,0.0930232558139535,40
37002,37,E,2024,0.416918429003021,276,0.506503442999235,0.11631419939577,77,0.040785498489426,27,0.0649546827794562,43,0.104229607250755,69
37003,37,E,2024,0.288390328904378,1324,0.496270673440709,0.18318449139621,841,0.0583750816815509,268,0.0701372250054454,322,0.161838379438031,743
37004,37,E,2024,0.344262295081967,63,0.586538461538462,0.158469945355191,29,0.0601092896174863,11,0.103825136612022,19,0.12568306010929,23
37005,37,E,2024,0.302702702702703,56,0.498652291105121,0.124324324324324,23,0.0486486486486487,9,0.0810810810810811,15,0.124324324324324,23
37006,37,E,2024,0.33614088820827,439,0.551753274186734,0.160030627871363,209,0.0673813169984686,88,0.0581929555895865,76,0.151607963246554,198
37007,37,E,2024,0.341176470588235,29,0.578231292517007,0.211764705882353,18,0.0705882352941176,6,0.0588235294117647,5,0.117647058823529,10
37008,37,E,2024,0.357269503546099,403,0.516720109940449,0.156914893617021,177,0.0549645390070922,62,0.0726950354609929,82,0.113475177304965,128
37009,37,E,2024,0.434210526315789,66,0.490322580645161,0.0855263157894737,13,0.0592105263157895,9,0.105263157894737,16,0.151315789473684,23
37010,37,E,2024,0.431428571428571,302,0.471380471380471,0.131428571428571,92,0.0528571428571429,37,0.0557142857142857,39,0.138571428571429,97
37011,37,E,2024,0.364640883977901,264,0.51238499646143,0.147790055248619,107,0.0359116022099448,26,0.0580110497237569,42,0.169889502762431,123
37012,37,E,2024,0.311224489795918,61,0.525469168900804,0.158163265306122,31,0.0612244897959184,12,0.127551020408163,25,0.107142857142857,21
37013,37,E,2024,0.483412322274882,102,0.565683646112601,0.0947867298578199,20,0.037914691943128,8,0.0710900473933649,15,0.0805687203791469,17
37014,37,E,2024,0.276899924755455,368,0.470442477876106,0.17757712565839,236,0.0564334085778781,75,0.0744920993227991,99,0.148231753197893,197
37015,37,E,2024,0.297131147540984,435,0.561780506523408,0.161885245901639,237,0.0676229508196721,99,0.0546448087431694,80,0.168715846994536,247
37016,37,E,2024,0.204419889502762,37,0.601328903654485,0.165745856353591,30,0.0883977900552486,16,0.104972375690608,19,0.0994475138121547,18
37018,37,E,2024,0.252843163184343,956,0.565340909090909,0.212377677862999,803,0.0523670986511505,198,0.0938905051573658,355,0.167151547209733,632
37019,37,E,2024,0.328205128205128,64,0.497448979591837,0.18974358974359,37,0.0512820512820513,10,0.102564102564103,20,0.0769230769230769,15
37020,37,E,2024,0.283950617283951,230,0.565642458100559,0.182716049382716,148,0.0679012345679012,55,0.0493827160493827,40,0.139506172839506,113
37021,37,E,2024,0.394184168012924,244,0.503661513425549,0.119547657512116,74,0.0533117932148627,33,0.105008077544426,65,0.10016155088853,62
37022,37,E,2024,0.299829642248722,352,0.504512247529007,0.15076660988075,177,0.0519591141396934,61,0.0715502555366269,84,0.189948892674617,223
37023,37,E,2024,0.382978723404255,54,0.6,0.113475177304965,16,0.00709219858156028,1,0.049645390070922,7,0.163120567375887,23
37024,37,E,2024,0.346511627906977,149,0.546378653113088,0.148837209302326,64,0.027906976744186,12,0.0465116279069768,20,0.132558139534884,57
37025,37,E,2024,0.36026936026936,107,0.512068965517241,0.158249158249158,47,0.037037037037037,11,0.0673400673400673,20,0.148148148148148,44
37026,37,E,2024,0.348936170212766,82,0.569007263922518,0.14468085106383,34,0.0382978723404255,9,0.0936170212765957,22,0.11063829787234,26
37027,37,E,2024,0.344360902255639,687,0.50828025477707,0.174937343358396,349,0.0461152882205514,92,0.0701754385964912,140,0.1468671679198,293
